,Codigo Piloto,Aerolínea,Origen,Destino,Minutos de retraso,OnTime,Piloto
0,43556,10,SAP,HAJ,40,,John Max
1,43556,2,FLL,TEG,-50,,John Max
2,43556,3,MIA,SAP,-20,,John Max
3,43556,1,MIA,SAP,0,,John Max
4,43556,2,MIA,FLL,-50,,John Max
5,43556,9,FLL,FLL,0,,John Max
6,43556,9,HAJ,HHN,0,,John Max
7,43556,6,SAP,MIA,-10,,John Max
8,43556,4,SAP,FLL,0,,John Max
9,43556,7,TEG,SAP,30,,John Max
10,43556,5,SAP,FLL,-40,,John Max
11,43556,5,MIA,SAP,20,,John Max
12,43556,7,HAJ,TEG,70,,John Max
13,43556,5,SAP,SAP,-10,,John Max
14,43556,2,FLL,HAJ,-10,,John Max
15,43556,8,HHN,TEG,0,,John Max
16,43556,8,TEG,SAP,-10,,John Max
17,43556,9,SAP,MIA,20,,John Max
18,43556,3,MIA,HAJ,10,,John Max
19,43556,7,MIA,MIA,10,,John Max
20,43556,2,HAJ,HHN,0,,John Max
21,43556,1,HAJ,MIA,0,,John Max
22,43556,5,SAP,SAP,20,,John Max
23,43557,5,MIA,MIA,30,,Jilles Vlank
24,43557,9,SAP,HAJ,40,,Jilles Vlank
25,43557,3,FLL,SAP,30,,Jilles Vlank
26,43557,7,FLL,SAP,0,,Jilles Vlank
27,43557,1,FLL,SAP,-20,,Jilles Vlank
28,43557,5,SAP,TEG,-50,,Jilles Vlank
29,43557,2,HHN,SAP,30,,Jilles Vlank
30,43557,7,SAP,FLL,-20,,Jilles Vlank
31,43557,8,MIA,SAP,-50,,Jilles Vlank
32,43557,7,HAJ,TEG,-20,,Jilles Vlank
33,43557,3,SAP,SAP,0,,Jilles Vlank
34,43557,4,FLL,HAJ,-60,,Jilles Vlank
35,43557,7,HHN,HAJ,0,,Jilles Vlank
36,43557,5,SAP,MIA,20,,Jilles Vlank
37,43557,8,TEG,HHN,-20,,Jilles Vlank
38,43557,2,SAP,HAJ,30,,Jilles Vlank
39,43557,3,HAJ,SAP,0,,Jilles Vlank
40,43557,6,MIA,FLL,0,,Jilles Vlank
41,43557,9,FLL,MIA,-40,,Jilles Vlank
42,43557,2,FLL,FLL,-20,,Jilles Vlank
43,43557,8,HHN,SAP,60,,Jilles Vlank
44,43557,7,MIA,FLL,-30,,Jilles Vlank
45,43557,5,MIA,SAP,20,,Jilles Vlank
46,43558,3,FLL,FLL,20,,Jorge Mej’a
47,43558,4,MIA,MIA,-20,,Jorge Mej’a
48,43558,5,TEG,HAJ,-10,,Jorge Mej’a
49,43558,8,TEG,HAJ,60,,Jorge Mej’a
50,43558,6,SAP,MIA,0,,Jorge Mej’a
51,43558,8,SAP,HHN,-20,,Jorge Mej’a
52,43558,10,SAP,SAP,40,,Jorge Mej’a
53,43558,10,HHN,SAP,30,,Jorge Mej’a
54,43558,3,TEG,SAP,-40,,Jorge Mej’a
55,43558,3,HAJ,HHN,40,,Jorge Mej’a
56,43558,6,FLL,TEG,-60,,Jorge Mej’a
57,43558,9,MIA,HAJ,0,,Jorge Mej’a
58,43558,5,SAP,HHN,50,,Jorge Mej’a
59,43558,2,MIA,SAP,0,,Jorge Mej’a
60,43558,8,SAP,FLL,30,,Jorge Mej’a
61,43558,10,SAP,TEG,50,,Jorge Mej’a
62,43558,10,HHN,HHN,70,,Jorge Mej’a
63,43558,2,HAJ,SAP,0,,Jorge Mej’a
64,43558,5,SAP,SAP,-70,,Jorge Mej’a
65,43558,8,MIA,SAP,20,,Jorge Mej’a
66,43558,10,SAP,MIA,-10,,Jorge Mej’a
67,43558,3,HAJ,TEG,50,,Jorge Mej’a
68,43558,6,TEG,HHN,40,,Jorge Mej’a
69,43558,7,MIA,HAJ,30,,Jorge Mej’a
70,43558,3,SAP,MIA,50,,Jorge Mej’a
71,43558,5,SAP,SAP,-30,,Jorge Mej’a
72,43558,9,FLL,MIA,40,,Jorge Mej’a
73,43558,2,HHN,HAJ,-60,,Jorge Mej’a
74,43558,2,SAP,SAP,0,,Jorge Mej’a
75,43558,1,TEG,HHN,0,,Jorge Mej’a
76,43558,1,SAP,MIA,-10,,Jorge Mej’a
77,43558,8,HAJ,FLL,-20,,Jorge Mej’a
78,43558,6,HAJ,SAP,-80,,Jorge Mej’a
79,43558,6,MIA,HHN,-40,,Jorge Mej’a
80,43558,3,HHN,SAP,10,,Jorge Mej’a
81,43558,3,FLL,TEG,-30,,Jorge Mej’a
82,43558,6,TEG,FLL,50,,Jorge Mej’a
83,43558,2,TEG,SAP,40,,Jorge Mej’a
84,43558,3,FLL,TEG,70,,Jorge Mej’a
85,43558,3,FLL,SAP,-10,,Jorge Mej’a
86,43558,9,FLL,HAJ,-60,,Jorge Mej’a
87,43558,9,SAP,HHN,0,,Jorge Mej’a
88,43558,10,SAP,FLL,-20,,Jorge Mej’a
89,43558,9,SAP,SAP,0,,Jorge Mej’a
90,43558,9,HAJ,SAP,0,,Jorge Mej’a
91,43558,5,MIA,SAP,40,,Jorge Mej’a
92,43558,10,HHN,MIA,70,,Jorge Mej’a
93,43558,5,FLL,SAP,-70,,Jorge Mej’a
94,43558,6,SAP,FLL,60,,Jorge Mej’a
95,43558,4,TEG,SAP,0,,Jorge Mej’a
96,43558,2,TEG,SAP,-50,,Jorge Mej’a
97,43559,1,TEG,SAP,0,,David Colindres
98,43559,10,FLL,FLL,-10,,David Colindres
99,43559,7,HAJ,HHN,20,,David Colindres
100,43559,10,HAJ,HHN,20,,David Colindres
101,43559,3,MIA,FLL,0,,David Colindres
102,43559,8,MIA,SAP,20,,David Colindres
103,43559,10,SAP,SAP,-30,,David Colindres
104,43559,3,SAP,SAP,-10,,David Colindres
105,43559,3,HAJ,MIA,10,,David Colindres
106,43559,4,HHN,SAP,20,,David Colindres
107,43559,3,SAP,HAJ,0,,David Colindres
108,43559,7,FLL,MIA,10,,David Colindres
109,43559,1,HAJ,SAP,-50,,David Colindres
110,43559,8,FLL,SAP,0,,David Colindres
111,43559,8,TEG,SAP,30,,David Colindres
112,43559,1,SAP,HAJ,20,,David Colindres
113,43559,1,SAP,SAP,80,,David Colindres
114,43559,7,MIA,MIA,-60,,David Colindres
115,43559,1,TEG,SAP,20,,David Colindres
116,43559,4,FLL,MIA,10,,David Colindres
117,43559,2,MIA,FLL,-20,,David Colindres
118,43559,8,HHN,HAJ,-70,,David Colindres
119,43559,5,HAJ,SAP,-20,,David Colindres
120,43559,1,FLL,MIA,20,,David Colindres
121,43559,7,MIA,FLL,-20,,David Colindres
122,43559,7,SAP,SAP,0,,David Colindres
123,43559,10,TEG,FLL,50,,David Colindres
124,43559,7,SAP,HHN,70,,David Colindres
125,43559,10,HAJ,SAP,50,,David Colindres
126,43559,6,HAJ,SAP,10,,David Colindres
127,43559,5,MIA,FLL,70,,David Colindres
128,43559,4,HHN,SAP,60,,David Colindres
129,43559,6,MIA,TEG,0,,David Colindres
130,43559,9,FLL,SAP,50,,David Colindres
131,43559,8,SAP,HAJ,60,,David Colindres
132,43559,2,SAP,HAJ,-20,,David Colindres
133,43559,3,HAJ,SAP,40,,David Colindres
134,43559,4,HAJ,MIA,30,,David Colindres
135,43559,9,TEG,HAJ,-10,,David Colindres
136,43559,2,TEG,SAP,0,,David Colindres
137,43559,5,TEG,HHN,60,,David Colindres
138,43559,10,SAP,SAP,10,,David Colindres
139,43559,2,HAJ,SAP,-20,,David Colindres
140,43559,3,MIA,MIA,20,,David Colindres
141,43559,7,HHN,SAP,-30,,David Colindres
142,43559,1,FLL,SAP,-50,,David Colindres
143,43559,2,SAP,FLL,20,,David Colindres
144,43559,4,TEG,SAP,40,,David Colindres
145,43559,10,TEG,SAP,0,,David Colindres
146,43559,4,HAJ,HAJ,0,,David Colindres
147,43559,8,HAJ,HAJ,-40,,David Colindres
148,43560,1,HAJ,SAP,50,,Maximilian Call
149,43560,8,TEG,SAP,0,,Maximilian Call
150,43560,7,TEG,FLL,-30,,Maximilian Call
151,43560,5,FLL,SAP,40,,Maximilian Call
152,43560,10,HAJ,SAP,50,,Maximilian Call
153,43560,7,HAJ,TEG,-90,,Maximilian Call
154,43560,10,MIA,SAP,0,,Maximilian Call
155,43560,1,HHN,HAJ,-50,,Maximilian Call
156,43560,6,MIA,TEG,-10,,Maximilian Call
157,43560,8,FLL,SAP,-60,,Maximilian Call
158,43560,3,SAP,MIA,-10,,Maximilian Call
159,43560,9,FLL,HAJ,10,,Maximilian Call
160,43560,6,SAP,MIA,-10,,Maximilian Call
161,43560,10,MIA,HHN,50,,Maximilian Call
162,43560,3,MIA,MIA,-80,,Maximilian Call
163,43560,4,HHN,SAP,70,,Maximilian Call
164,43560,5,MIA,FLL,70,,Maximilian Call
165,43560,5,HAJ,HHN,0,,Maximilian Call
166,43560,9,HAJ,SAP,0,,Maximilian Call
167,43560,2,HAJ,SAP,-10,,Maximilian Call
168,43560,6,SAP,MIA,-60,,Maximilian Call
169,43560,5,HHN,SAP,70,,Maximilian Call
170,43560,3,FLL,FLL,-20,,Maximilian Call
171,43560,5,SAP,SAP,30,,Maximilian Call
172,43560,2,TEG,SAP,-60,,Maximilian Call
173,43560,1,TEG,SAP,-50,,Maximilian Call
174,43560,2,HAJ,HAJ,60,,Maximilian Call
175,43560,8,HAJ,MIA,-70,,Maximilian Call
176,43560,1,MIA,HHN,20,,Maximilian Call
177,43560,5,HHN,HHN,40,,Maximilian Call
178,43561,8,HHN,SAP,20,,Muilin Mills
179,43561,1,HAJ,SAP,-70,,Muilin Mills
180,43561,5,HAJ,SAP,-10,,Muilin Mills
181,43561,6,SAP,MIA,-70,,Muilin Mills
182,43561,2,HHN,HAJ,-20,,Muilin Mills
183,43561,8,MIA,HAJ,-20,,Muilin Mills
184,43561,10,FLL,MIA,0,,Muilin Mills
185,43561,9,SAP,HHN,10,,Muilin Mills
186,43561,3,FLL,HAJ,0,,Muilin Mills
187,43561,10,SAP,SAP,-30,,Muilin Mills
188,43561,6,TEG,FLL,80,,Muilin Mills
189,43561,1,SAP,MIA,-10,,Muilin Mills
190,43561,6,MIA,FLL,0,,Muilin Mills
191,43561,4,FLL,SAP,-30,,Muilin Mills
192,43561,1,FLL,FLL,50,,Muilin Mills
193,43561,6,FLL,SAP,0,,Muilin Mills
194,43561,10,FLL,TEG,0,,Muilin Mills
195,43561,8,HHN,SAP,0,,Muilin Mills
196,43561,1,HHN,HAJ,0,,Muilin Mills
197,43561,7,MIA,TEG,80,,Muilin Mills
198,43561,7,SAP,FLL,60,,Muilin Mills
199,43561,10,SAP,SAP,30,,Muilin Mills
200,43561,2,TEG,SAP,-50,,Muilin Mills
201,43561,8,TEG,HAJ,-20,,Muilin Mills
202,43561,4,HAJ,HAJ,0,,Muilin Mills
203,43561,3,HAJ,MIA,-50,,Muilin Mills
204,43561,6,MIA,HHN,-60,,Muilin Mills
205,43561,1,HHN,FLL,-10,,Muilin Mills
206,43561,2,FLL,SAP,-20,,Muilin Mills
207,43561,4,SAP,SAP,-20,,Muilin Mills
208,43562,2,SAP,HAJ,-30,,Gianni Falk
209,43562,5,HHN,SAP,-10,,Gianni Falk
210,43562,7,MIA,SAP,-10,,Gianni Falk
211,43562,7,MIA,FLL,60,,Gianni Falk
212,43562,9,SAP,HHN,40,,Gianni Falk
213,43562,9,FLL,MIA,-50,,Gianni Falk
214,43562,5,SAP,FLL,-30,,Gianni Falk
215,43562,6,TEG,SAP,20,,Gianni Falk
216,43562,2,SAP,HHN,30,,Gianni Falk
217,43562,9,MIA,SAP,50,,Gianni Falk
218,43562,7,HAJ,TEG,-10,,Gianni Falk
219,43562,10,SAP,FLL,-40,,Gianni Falk
220,43562,5,FLL,SAP,-50,,Gianni Falk
221,43562,7,TEG,TEG,-20,,Gianni Falk
222,43562,2,TEG,SAP,40,,Gianni Falk
223,43562,10,TEG,HAJ,40,,Gianni Falk
224,43562,5,TEG,HAJ,-10,,Gianni Falk
225,43562,3,SAP,MIA,-90,,Gianni Falk
226,43562,8,SAP,HHN,0,,Gianni Falk
227,43562,7,FLL,HAJ,0,,Gianni Falk
228,43562,4,SAP,SAP,0,,Gianni Falk
229,43562,3,TEG,HAJ,0,,Gianni Falk
230,43562,3,HAJ,MIA,90,,Gianni Falk
231,43562,1,HAJ,HHN,20,,Gianni Falk
232,43562,9,MIA,HHN,0,,Gianni Falk
233,43562,4,HHN,FLL,-50,,Gianni Falk
234,43562,9,FLL,SAP,-10,,Gianni Falk
235,43562,6,SAP,TEG,-40,,Gianni Falk
236,43562,10,SAP,TEG,-70,,Gianni Falk
237,43562,8,MIA,TEG,0,,Gianni Falk
238,43563,8,MIA,HHN,-30,,Hous Hih
239,43563,6,SAP,HAJ,10,,Hous Hih
240,43563,3,FLL,SAP,10,,Hous Hih
241,43563,3,FLL,TEG,-10,,Hous Hih
242,43563,6,TEG,SAP,0,,Hous Hih
243,43563,6,MIA,SAP,0,,Hous Hih
244,43563,8,SAP,SAP,-20,,Hous Hih
245,43563,4,HHN,HAJ,-70,,Hous Hih
246,43563,7,TEG,MIA,-30,,Hous Hih
247,43563,8,HAJ,SAP,0,,Hous Hih
248,43563,8,HAJ,MIA,-30,,Hous Hih
249,43563,10,TEG,SAP,-20,,Hous Hih
250,43564,10,FLL,SAP,-30,,Cho Ming
251,43564,8,HAJ,HHN,0,,Cho Ming
252,43564,6,TEG,HAJ,10,,Cho Ming
253,43564,10,TEG,HAJ,-20,,Cho Ming
254,43564,1,HAJ,TEG,-20,,Cho Ming
255,43564,9,FLL,MIA,0,,Cho Ming
256,43564,10,SAP,MIA,70,,Cho Ming
257,43564,4,SAP,MIA,50,,Cho Ming
258,43564,6,HAJ,FLL,60,,Cho Ming
259,43564,6,HHN,SAP,60,,Cho Ming
260,43564,6,HHN,FLL,-10,,Cho Ming
261,43564,3,HAJ,TEG,40,,Cho Ming
262,43565,7,TEG,TEG,0,,Chao Ma
263,43565,1,HHN,SAP,-10,,Chao Ma
264,43565,2,HAJ,HHN,-20,,Chao Ma
265,43565,8,HAJ,MIA,70,,Chao Ma
266,43565,3,HHN,HAJ,-20,,Chao Ma
267,43565,4,TEG,FLL,-20,,Chao Ma
268,43565,5,HAJ,FLL,0,,Chao Ma
269,43565,5,MIA,FLL,40,,Chao Ma
270,43565,10,MIA,TEG,-10,,Chao Ma
271,43565,2,SAP,HAJ,10,,Chao Ma
272,43565,2,SAP,SAP,-30,,Chao Ma
273,43565,9,HHN,HAJ,60,,Chao Ma
274,43566,4,HAJ,HAJ,-70,,JosŽ Perez
275,43566,3,SAP,TEG,80,,JosŽ Perez
276,43566,6,HHN,SAP,50,,JosŽ Perez
277,43566,8,MIA,FLL,10,,JosŽ Perez
278,43566,4,SAP,HHN,-30,,JosŽ Perez
279,43566,8,HAJ,TEG,-80,,JosŽ Perez
280,43566,1,HHN,SAP,-70,,JosŽ Perez
281,43566,6,FLL,SAP,0,,JosŽ Perez
282,43566,7,SAP,HAJ,70,,JosŽ Perez
283,43566,4,HAJ,HHN,-70,,JosŽ Perez
284,43566,7,MIA,SAP,-20,,JosŽ Perez
285,43566,4,SAP,MIA,-50,,JosŽ Perez
286,43567,6,HHN,HHN,-40,,Davie Mixal
287,43567,10,MIA,HAJ,30,,Davie Mixal
288,43567,6,SAP,TEG,20,,Davie Mixal
289,43567,10,FLL,SAP,20,,Davie Mixal
290,43567,4,MIA,SAP,-30,,Davie Mixal
291,43567,4,MIA,HAJ,-60,,Davie Mixal
292,43567,5,SAP,MIA,0,,Davie Mixal
293,43567,1,SAP,SAP,30,,Davie Mixal
294,43567,4,MIA,MIA,0,,Davie Mixal
295,43567,4,HHN,SAP,40,,Davie Mixal
296,43567,2,FLL,SAP,10,,Davie Mixal
297,43567,7,MIA,FLL,90,,Davie Mixal
298,43568,4,FLL,SAP,0,,Filg Gills
299,43568,4,FLL,HHN,20,,Filg Gills
300,43568,2,HAJ,FLL,-30,,Filg Gills
301,43568,10,MIA,SAP,-10,,Filg Gills
302,43568,7,HHN,SAP,20,,Filg Gills
303,43568,5,TEG,HAJ,60,,Filg Gills
304,43568,1,SAP,SAP,40,,Filg Gills
305,43568,4,FLL,MIA,20,,Filg Gills
306,43568,1,FLL,MIA,-30,,Filg Gills
307,43568,2,TEG,FLL,-10,,Filg Gills
308,43568,9,MIA,SAP,-60,,Filg Gills
309,43568,2,FLL,FLL,20,,Filg Gills
310,43568,2,SAP,TEG,60,,Filg Gills
311,43568,5,TEG,HAJ,-50,,Filg Gills
312,43568,4,FLL,SAP,-50,,Filg Gills
313,43569,9,TEG,MIA,0,,Hung Cho
314,43569,4,TEG,SAP,-10,,Hung Cho
315,43569,9,HHN,TEG,10,,Hung Cho
316,43569,8,FLL,TEG,-20,,Hung Cho
317,43569,3,FLL,TEG,10,,Hung Cho
318,43570,6,HAJ,FLL,-70,,Filen Filg
319,43570,5,HAJ,MIA,-20,,Filen Filg
320,43570,7,SAP,HAJ,-20,,Filen Filg
321,43570,9,TEG,HAJ,60,,Filen Filg
322,43570,6,TEG,HAJ,0,,Filen Filg
323,43571,5,HHN,SAP,-50,,Arthur Maxwell
324,43571,1,HHN,FLL,30,,Arthur Maxwell
325,43571,5,MIA,MIA,10,,Arthur Maxwell
326,43571,9,HAJ,MIA,-10,,Arthur Maxwell
327,43571,2,HAJ,HHN,-10,,Arthur Maxwell
