,Codigo Piloto,Aerolínea,Origen,Destino,Minutos de retraso,OnTime,Piloto
0,43556,10,SAP,HAJ,40,B,John Max
1,43556,2,FLL,TEG,-50,B,John Max
2,43556,3,MIA,SAP,-20,A,John Max
3,43556,1,MIA,SAP,0,A,John Max
4,43556,2,MIA,FLL,-50,B,John Max
6,43556,9,HAJ,HHN,0,A,John Max
7,43556,6,SAP,MIA,-10,A,John Max
8,43556,4,SAP,FLL,0,A,John Max
9,43556,7,TEG,SAP,30,A,John Max
10,43556,5,SAP,FLL,-40,B,John Max
11,43556,5,MIA,SAP,20,A,John Max
12,43556,7,HAJ,TEG,70,C,John Max
14,43556,2,FLL,HAJ,-10,A,John Max
15,43556,8,HHN,TEG,0,A,John Max
16,43556,8,TEG,SAP,-10,A,John Max
17,43556,9,SAP,MIA,20,A,John Max
18,43556,3,MIA,HAJ,10,A,John Max
20,43556,2,HAJ,HHN,0,A,John Max
21,43556,1,HAJ,MIA,0,A,John Max
24,43557,9,SAP,HAJ,40,B,Jilles Vlank
25,43557,3,FLL,SAP,30,A,Jilles Vlank
26,43557,7,FLL,SAP,0,A,Jilles Vlank
27,43557,1,FLL,SAP,-20,A,Jilles Vlank
28,43557,5,SAP,TEG,-50,B,Jilles Vlank
29,43557,2,HHN,SAP,30,A,Jilles Vlank
30,43557,7,SAP,FLL,-20,A,Jilles Vlank
31,43557,8,MIA,SAP,-50,B,Jilles Vlank
32,43557,7,HAJ,TEG,-20,A,Jilles Vlank
34,43557,4,FLL,HAJ,-60,C,Jilles Vlank
35,43557,7,HHN,HAJ,0,A,Jilles Vlank
36,43557,5,SAP,MIA,20,A,Jilles Vlank
37,43557,8,TEG,HHN,-20,A,Jilles Vlank
38,43557,2,SAP,HAJ,30,A,Jilles Vlank
39,43557,3,HAJ,SAP,0,A,Jilles Vlank
40,43557,6,MIA,FLL,0,A,Jilles Vlank
41,43557,9,FLL,MIA,-40,B,Jilles Vlank
